,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
64,002572.SZ,20240221,16.48,17.12,16.37,16.79,16.6,0.19,1.1446,102293.02,171951.98
65,000557.SZ,20240221,4.31,4.55,4.25,4.43,4.34,0.09,2.0737,118748.4,52647.575
66,688662.SH,20240221,21.39,22.74,21.0,21.94,22.02,-0.08,-0.3633,30693.18,67320.568
67,600644.SH,20240221,5.16,5.39,5.12,5.28,5.21,0.07,1.3436,58394.99,30836.79
68,002224.SZ,20240221,4.19,4.41,4.16,4.3,4.19,0.11,2.6253,86883.24,37535.401
69,002782.SZ,20240221,10.39,10.88,10.32,10.5,10.49,0.01,0.0953,84993.71,90430.819
70,000700.SZ,20240221,5.32,5.77,5.3,5.53,5.39,0.14,2.5974,400334.53,223633.243
71,688560.SH,20240221,12.75,13.68,12.63,13.23,12.89,0.34,2.6377,46845.83,62276.908
72,600478.SH,20240221,3.78,4.04,3.78,3.89,3.76,0.13,3.4574,284409.27,111281.25
73,603598.SH,20240221,14.94,15.25,14.31,14.4,14.36,0.04,0.2786,542806.75,801772.526
74,000564.SZ,20240221,1.66,1.72,1.64,1.68,1.7,-0.02,-1.1765,2137565.81,358971.092
75,600968.SH,20240221,3.13,3.19,3.12,3.15,3.14,0.01,0.3185,360023.85,114028.822
76,002356.SZ,20240221,4.25,4.5,4.18,4.33,4.25,0.08,1.8824,89195.88,39024.78
77,002243.SZ,20240221,6.73,6.93,6.67,6.74,6.73,0.01,0.1486,104864.98,71425.02
78,603606.SH,20240221,38.53,40.28,38.28,39.31,38.8,0.51,1.3144,96594.97,380245.337
79,002247.SZ,20240221,1.32,1.46,1.29,1.41,1.34,0.07,5.2239,628898.89,87950.999
80,603869.SH,20240221,7.37,7.88,7.25,7.36,7.3,0.06,0.8219,99295.49,74548.419
81,300025.SZ,20240221,7.28,7.93,7.2,7.52,7.3,0.22,3.0137,140888.74,107692.247
82,603001.SH,20240221,4.25,4.41,4.22,4.33,4.26,0.07,1.6432,28611.0,12423.917
83,688596.SH,20240221,33.61,35.48,33.3,34.0,33.94,0.06,0.1768,30256.71,104731.999
84,603259.SH,20240221,51.0,55.5,50.82,53.74,51.57,2.17,4.2079,1088745.73,5806896.516
85,001336.SZ,20240221,17.69,18.99,17.45,18.27,17.79,0.48,2.6981,25608.71,47126.002
86,688680.SH,20240221,40.55,43.33,39.45,41.79,40.71,1.08,2.6529,28042.21,117694.702
87,000809.SZ,20240221,1.93,2.08,1.9,2.04,1.93,0.11,5.6995,123641.68,24946.591
88,600508.SH,20240221,15.11,15.71,15.05,15.31,15.21,0.1,0.6575,172938.13,266071.063
89,001203.SZ,20240221,9.37,9.52,9.25,9.37,9.39,-0.02,-0.213,101967.03,96415.202
90,603885.SH,20240221,13.66,13.9,13.26,13.34,13.72,-0.38,-2.7697,256619.24,348608.032
91,830832.BJ,20240221,4.72,4.9,4.72,4.82,4.79,0.03,0.6263,10231.07,4948.23
92,688578.SH,20240221,41.3,42.06,40.66,40.83,41.13,-0.3,-0.7294,42113.22,173968.167
93,000799.SZ,20240221,56.9,62.92,56.51,61.0,57.43,3.57,6.2163,132431.32,799738.448
94,002459.SZ,20240221,17.3,18.18,17.16,17.77,17.53,0.24,1.3691,696296.96,1237366.486
95,002021.SZ,20240221,1.7,1.75,1.67,1.67,1.68,-0.01,-0.5952,549999.43,93893.214
96,688072.SH,20240221,183.0,193.18,180.45,187.0,185.03,1.97,1.0647,19618.81,368733.334
97,002886.SZ,20240221,13.15,13.6,12.97,13.21,13.47,-0.26,-1.9302,100825.7,134426.644
98,688516.SH,20240221,76.0,80.37,75.0,77.8,76.8,1.0,1.3021,22698.62,177021.803
